ts_wall_s,ts_mono_s,dt_s,backend,nic,rx_bytes_d,tx_bytes_d,rx_Mbps,tx_Mbps,rx_pkts_d,tx_pkts_d,dropin_d,dropout_d,errin_d,errout_d
1769029701.9969456,860861.280579165,1.001546140993014,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029702.9984543,860862.28208596,1.0015067950589582,psutil,enp0s31f6,948,624,0.007572589659317821,0.0049844893960066675,12,4,0,0,0,0
1769029702.9984543,860862.28208596,1.0015067950589582,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029703.9999857,860863.283619714,1.0015337539371103,psutil,enp0s31f6,2238,1766,0.01787658172240119,0.01410636430820398,22,13,0,0,0,0
1769029703.9999857,860863.283619714,1.0015337539371103,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029705.0015252,860864.285158692,1.0015389780746773,psutil,enp0s31f6,2446,1698,0.01953793155171736,0.013563126645468552,21,14,0,0,0,0
1769029705.0015252,860864.285158692,1.0015389780746773,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029706.0030403,860865.286673852,1.0015151599654928,psutil,enp0s31f6,1334,616,0.010655854675597426,0.004920544587832094,13,4,0,0,0,0
1769029706.0030403,860865.286673852,1.0015151599654928,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029707.0045779,860866.288211744,1.00153789203614,psutil,enp0s31f6,2456,1474,0.01961782989563715,0.011773893023684512,21,11,0,0,0,0
1769029707.0045779,860866.288211744,1.00153789203614,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029708.0061028,860867.289736489,1.0015247449046,psutil,enp0s31f6,1955,1420,0.015616189294943263,0.011342705267938331,18,10,0,0,0,0
1769029708.0061028,860867.289736489,1.0015247449046,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029709.0076735,860868.291307364,1.0015708750579506,psutil,enp0s31f6,1526,908,0.012188852835096317,0.0072526070604636015,16,6,0,0,0,0
1769029709.0076735,860868.291307364,1.0015708750579506,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029710.0092125,860869.292845952,1.0015385879669338,psutil,enp0s31f6,2306,1666,0.01841965973317951,0.013307525201854757,21,14,0,0,0,0
1769029710.0092125,860869.292845952,1.0015385879669338,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029711.0106344,860870.294267402,1.0014214500552043,psutil,enp0s31f6,3880,3865,0.030995940818212844,0.030876111150101193,31,21,0,0,0,0
1769029711.0106344,860870.294267402,1.0014214500552043,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029712.0121608,860871.295794149,1.0015267470153049,psutil,enp0s31f6,2470,2168,0.019729877468462696,0.017317560466245798,24,12,0,0,0,0
1769029712.0121608,860871.295794149,1.0015267470153049,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029713.013644,860872.297275691,1.0014815418981016,psutil,enp0s31f6,3980,1474,0.03179289749030606,0.01177455550269124,23,11,0,0,0,0
1769029713.013644,860872.297275691,1.0014815418981016,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029714.015057,860873.298690159,1.0014144680462778,psutil,enp0s31f6,2512,1790,0.020067614999817754,0.014299773427417905,24,13,0,0,0,0
1769029714.015057,860873.298690159,1.0014144680462778,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029715.0166037,860874.300241263,1.001551104011014,psutil,enp0s31f6,2670,2298,0.02132691972926536,0.018355528665862098,20,14,0,0,0,0
1769029715.0166037,860874.300241263,1.001551104011014,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029716.0175533,860875.30119051,1.0009492470417172,psutil,enp0s31f6,2722,1728,0.02175534879951054,0.01381089005347326,23,13,0,0,0,0
1769029716.0175533,860875.30119051,1.0009492470417172,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029717.0191045,860876.302738314,1.0015478039858863,psutil,enp0s31f6,2758,1846,0.022029902029829546,0.014745177355716224,25,13,0,0,0,0
1769029717.0191045,860876.302738314,1.0015478039858863,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189046.4070392,1020205.69067211,,psutil,enp0s31f6,0,0,,,0,0,0,0,0,0
1769189046.4070392,1020205.69067211,,psutil,wlp0s20f3,0,0,,,0,0,0,0,0,0
1769189047.4084296,1020206.692061357,1.00138924701605,psutil,enp0s31f6,1982,1586,0.015834002659053784,0.01267039768782003,19,11,0,0,0,0
1769189047.4084296,1020206.692061357,1.00138924701605,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189048.4098287,1020207.693460409,1.0013990519801155,psutil,enp0s31f6,1473,1111,0.011767536604612236,0.008875582598590764,14,8,0,0,0,0
1769189048.4098287,1020207.693460409,1.0013990519801155,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189049.4112904,1020208.694921898,1.001461489009671,psutil,enp0s31f6,4903,3927,0.03916675821332678,0.031370152866354126,37,24,0,0,0,0
1769189049.4112904,1020208.694921898,1.001461489009671,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189050.4126496,1020209.696281169,1.001359271002002,psutil,enp0s31f6,2146,1806,0.017144695712280146,0.014428387910707339,21,13,0,0,0,0
1769189050.4126496,1020209.696281169,1.001359271002002,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189051.4140842,1020210.697717633,1.001436464022845,psutil,enp0s31f6,1510,1106,0.012062672405070751,0.008835308397356457,14,8,0,0,0,0
1769189051.4140842,1020210.697717633,1.001436464022845,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189052.4468222,1020211.730453776,1.0327361429808661,psutil,enp0s31f6,2708,2218,0.020977284611604204,0.01718154256592988,24,16,0,0,0,0
1769189052.4468222,1020211.730453776,1.0327361429808661,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189053.4484255,1020212.732057207,1.0016034310683608,psutil,enp0s31f6,2502,1862,0.019983957102313363,0.014872153526981407,25,13,0,0,0,0
1769189053.4484255,1020212.732057207,1.0016034310683608,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189054.4498997,1020213.733531431,1.0014742239145562,psutil,enp0s31f6,20826,65202,0.16636274406420934,0.520848153196705,58,69,0,0,0,0
1769189054.4498997,1020213.733531431,1.0014742239145562,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189055.4512484,1020214.734880132,1.0013487010728568,psutil,enp0s31f6,7981,89394,0.06376200411664039,0.714188772835854,56,89,0,0,0,0
1769189055.4512484,1020214.734880132,1.0013487010728568,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189056.4526896,1020215.736322337,1.0014422049280256,psutil,enp0s31f6,8847,37292,0.07067407350291045,0.2979063579824276,60,57,0,0,0,0
1769189056.4526896,1020215.736322337,1.0014422049280256,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189057.4540634,1020216.737695483,1.0013731460785493,psutil,enp0s31f6,5288,49206,0.0422459900843812,0.39310820500984517,41,53,0,0,0,0
1769189057.4540634,1020216.737695483,1.0013731460785493,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189058.4556606,1020217.739292062,1.0015965789789334,psutil,enp0s31f6,13236,56769,0.10571921093015947,0.4534280662809175,52,68,0,0,0,0
1769189058.4556606,1020217.739292062,1.0015965789789334,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189059.4570491,1020218.740681116,1.0013890539994463,psutil,enp0s31f6,17632,67946,0.140860337384992,0.5428140020395116,63,78,0,0,0,0
1769189059.4570491,1020218.740681116,1.0013890539994463,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189060.4587512,1020219.742383039,1.001701922970824,psutil,enp0s31f6,7528,23480,0.06012167753595708,0.187520853951152,44,44,0,0,0,0
1769189060.4587512,1020219.742383039,1.001701922970824,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189061.4602633,1020220.743895241,1.0015122019685805,psutil,enp0s31f6,6614,18324,0.05283210718351284,0.14637065800282573,46,41,0,0,0,0
1769189061.4602633,1020220.743895241,1.0015122019685805,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189062.494122,1020221.777755588,1.033860347000882,psutil,enp0s31f6,5023,14626,0.038867918782811886,0.11317582721827726,36,35,0,0,0,0
1769189062.494122,1020221.777755588,1.033860347000882,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189063.4956841,1020222.779317337,1.001561749028042,psutil,enp0s31f6,4720,15600,0.03770112031199664,0.12460539764134486,36,29,0,0,0,0
1769189063.4956841,1020222.779317337,1.001561749028042,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189064.496563,1020223.780196134,1.000878797029145,psutil,enp0s31f6,5646,16076,0.0451283413476934,0.1284950789063973,43,38,0,0,0,0
1769189064.496563,1020223.780196134,1.000878797029145,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189065.4980912,1020224.781724535,1.0015284010441974,psutil,enp0s31f6,5746,16612,0.04589784967862478,0.1326931915874199,41,36,0,0,0,0
1769189065.4980912,1020224.781724535,1.0015284010441974,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189066.4996402,1020225.783274206,1.0015496709384024,psutil,enp0s31f6,5068,16114,0.04048126735642805,0.12871253792057646,32,31,0,0,0,0
1769189066.4996402,1020225.783274206,1.0015496709384024,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189067.5004709,1020226.78410249,1.0008282840717584,psutil,enp0s31f6,5646,17434,0.04513061902711125,0.13935657317014832,41,38,0,0,0,0
1769189067.5004709,1020226.78410249,1.0008282840717584,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189068.5019,1020227.785531698,1.0014292079722509,psutil,enp0s31f6,5812,17470,0.046429642384954666,0.13956053896509946,40,33,0,0,0,0
1769189068.5019,1020227.785531698,1.0014292079722509,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189069.5034618,1020228.787095149,1.001563451020047,psutil,enp0s31f6,5054,17674,0.04036888522521647,0.14117128560951245,38,33,0,0,0,0
1769189069.5034618,1020228.787095149,1.001563451020047,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769189070.5050297,1020229.788663344,1.0015681949444115,psutil,enp0s31f6,5311,17984,0.042421474857593844,0.14364673391808844,41,34,0,0,0,0
