ts_wall_s,ts_mono_s,dt_s,cpu_logical,cpu_physical,cpu_freq_cur_mhz_mean,cpu_freq_cur_mhz_max,cpu_total_percent,cpu_mean_core_percent,cpu_max_core_percent,cpu_core_count_sampled,loadavg_1,loadavg_5,loadavg_15,procs_running,procs_blocked,ctx_switches_d,interrupts_d,soft_interrupts_d,syscalls_d,cg_nr_periods,cg_nr_throttled,cg_throttled_usec,cg_nr_throttled_d,cg_throttled_usec_d,pct_user,pct_system,pct_idle,pct_iowait,pct_irq,pct_softirq,pct_steal,pct_guest,pct_guest_nice,sec_user_d,sec_system_d,sec_idle_d,sec_iowait_d,sec_irq_d,sec_softirq_d,sec_steal_d,sec_guest_d,sec_guest_nice_d,sec_total_d,proc_cpu_sec_d_sum,proc_cpu_pct_total_sum
1769029521.7695587,860682.054488213,1.001298260060139,12,6,1476.2885833333332,3978.178,0.2,0.0,0.0,12,0.0654296875,0.15576171875,0.162109375,1,0,876,315,278,0,0,0,0,0,0,0.16666666668686503,0.0833333333358534,99.74999999997728,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.009999999999308784,11.969999998807907,0.0,0.0,0.0,0.0,0.0,0.0,11.999999998807652,,
1769029522.7713885,860683.056389174,1.0013697429094464,12,6,833.4744166666666,1202.045,0.4,0.4166666666666667,2.0,12,0.06005859375,0.15283203125,0.1611328125,1,0,969,546,467,0,0,0,0,0,0,0.16652789341337404,0.16652789341337404,99.58368026646835,0.0,0.0,0.08326394670491213,0.0,0.0,0.0,0.020000000000436557,0.020000000000436557,11.96000000089407,0.0,0.0,0.010000000000005116,0.0,0.0,0.0,12.010000000894948,,
1769029675.8547256,860836.139655304,1.0012962670298293,12,6,897.38325,1524.643,0.3,0.4166666666666667,1.0,12,0.00244140625,0.08642578125,0.1318359375,3,0,1116,800,580,0,0,0,0,0,0,0.16666666665478008,0.249999999974591,99.58333333337063,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.02999999999974534,11.950000001117587,0.0,0.0,0.0,0.0,0.0,0.0,12.000000001117769,,
1769029676.8568761,860837.141745231,1.0012375300284475,12,6,1048.921916666667,2300.215,0.3,0.08333333333333333,1.0,12,0.00244140625,0.08642578125,0.1318359375,1,0,1258,660,590,0,0,0,0,0,0,0.16680567140993416,0.08340283570496708,99.7497914928851,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.010000000000218279,11.959999999031425,0.0,0.0,0.0,0.0,0.0,0.0,11.98999999903208,,
1769029677.8586385,860838.14319905,1.0009294629562646,12,6,1263.1168333333333,2958.91,0.4,0.5,1.0,12,0.001953125,0.0849609375,0.130859375,1,0,1074,561,469,0,0,0,0,0,0,0.1666666666396471,0.2499999999746289,99.58333333338572,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999998617568,0.02999999999974534,11.950000001117587,0.0,0.0,0.0,0.0,0.0,0.0,12.00000000111595,,
1769029686.974562,860847.259212743,1.0010182110127062,12,6,1104.6555833333334,2636.991,0.6,0.5,1.0,12,0.0009765625,0.08203125,0.12890625,2,0,1093,652,559,0,0,0,0,0,0,0.3330557868659871,0.2497918401494903,99.41715237298452,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000873115,0.030000000000654836,11.93999999947846,0.0,0.0,0.0,0.0,0.0,0.0,12.009999999479987,,
1769029687.9763808,860848.261267611,1.0012546419166028,12,6,1254.4044166666667,3396.934,0.5,0.5,2.0,12,0.0009765625,0.08203125,0.12890625,3,0,1231,787,741,0,0,0,0,0,0,0.2500000000011937,0.25000000000877287,99.49999999999002,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999998835847,0.02999999999974534,11.93999999947846,0.0,0.0,0.0,0.0,0.0,0.0,11.99999999947704,,
1769029688.9782054,860849.263142416,1.0013059650082141,12,6,1312.3544166666668,3609.561,0.3,0.4166666666666667,2.0,12,0.0009765625,0.08203125,0.12890625,1,0,1028,635,569,0,0,0,0,0,0,0.16666666665787488,0.16666666665787488,99.66666666668425,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.020000000000436557,11.96000000089407,0.0,0.0,0.0,0.0,0.0,0.0,12.000000000894943,,
1769029689.9800563,860850.265050476,1.0013630419271067,12,6,1424.3790000000001,4435.937,0.4,0.4166666666666667,1.0,12,0.0009765625,0.08203125,0.12890625,1,1,979,496,417,0,0,0,0,0,0,0.24979184016036718,0.16652789343267196,98.91756869266113,0.6661115737458334,0.0,0.0,0.0,0.0,0.0,0.030000000000654836,0.019999999999527063,11.879999998956919,0.07999999999992724,0.0,0.0,0.0,0.0,0.0,12.009999998957028,,
1769029690.981937,860851.266995083,1.001427020994015,12,6,1325.2296666666668,3059.295,0.3,0.25,1.0,12,0.0009765625,0.08203125,0.12890625,1,0,960,714,533,0,0,0,0,0,0,0.16666666663344484,0.16666666664860308,99.41666666676021,0.24999999995774638,0.0,0.0,0.0,0.0,0.0,0.019999999998617568,0.020000000000436557,11.930000001564622,0.029999999998835847,0.0,0.0,0.0,0.0,0.0,12.000000001562512,,
1769029691.9839501,860852.268992836,1.00141175405588,12,6,1401.2424166666667,3564.634,0.2,0.25,1.0,12,0.00048828125,0.08056640625,0.1279296875,1,0,980,506,439,0,0,0,0,0,0,0.08340283570652972,0.08340283569894427,99.83319432859452,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000218279,0.009999999999308784,11.969999998807907,0.0,0.0,0.0,0.0,0.0,0.0,11.989999998807434,,
