ts_wall_s,ts_mono_s,dt_s,fs_path,fs_total_bytes,fs_used_bytes,fs_free_bytes,fs_percent,disk_read_bytes_d,disk_write_bytes_d,disk_read_count_d,disk_write_count_d,disk_read_MBps,disk_write_MBps,disk_read_iops,disk_write_iops,disk_busy_time_ms_d,proc_read_bytes_d_sum,proc_write_bytes_d_sum
1769029304.0809684,860463.36459988,1.0012766279978678,/,250375106560,142818635776,94763581440,60.1,61440,0,4,0,0.061361663981765124,0.0,3.9948999988128335,0.0,2,,
1769029305.0823867,860464.366018141,1.0014182610902935,/,250375106560,142818635776,94763581440,60.1,0,77824,0,2,0.0,0.07771378156742335,0.0,1.9971674950509701,4,,
1769029306.0838456,860465.36747744,1.0014592990046367,/,250375106560,142818635776,94763581440,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029307.0852711,860466.368902415,1.001424974994734,/,250375106560,142818635776,94763581440,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029308.0867662,860467.370397776,1.001495360978879,/,250375106560,142818635776,94763581440,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029309.0882277,860468.371859322,1.0014615459367633,/,250375106560,142818639872,94763577344,60.1,0,12288,0,2,0.0,0.01227006673382137,0.0,1.9970811741245718,32,,
1769029310.0896745,860469.373305947,1.00144662510138,/,250375106560,142818639872,94763577344,60.1,0,32768,0,2,0.0,0.032720665464005906,0.0,1.9971109291995794,4,,
1769029311.091216,860470.374849463,1.001543515943922,/,250375106560,142818639872,94763577344,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029312.0926957,860471.376327326,1.0014778630575165,/,250375106560,142818639872,94763577344,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029513.72749,860673.01112272,,/,250375106560,142818672640,94763544576,60.1,0,0,0,0,,,,,1,,
1769029514.7288365,860674.012468578,1.0013458579778671,/,250375106560,142818672640,94763544576,60.1,0,155648,0,4,0.0,0.15543880144899977,0.0,3.9946238036852324,4,,
1769029515.7294261,860675.013057688,1.0005891100736335,/,250375106560,142818672640,94763544576,60.1,0,4096,0,1,0.0,0.0040935884258210395,0.0,0.9994112367727147,3,,
1769029516.730884,860676.014515474,1.001457785954699,/,250375106560,142818676736,94763540480,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029517.7323167,860677.015948164,1.001432690070942,/,250375106560,142818680832,94763536384,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029518.7338135,860678.017445159,1.0014969949843362,/,250375106560,142818680832,94763536384,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029519.735269,860679.018900996,1.001455836929381,/,250375106560,142818680832,94763536384,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029520.76684,860680.050471627,1.0315706310793757,/,250375106560,142818680832,94763536384,60.1,0,16384,0,2,0.0,0.015882577020302265,0.0,1.9387911401736164,70,,
1769029521.768353,860681.051984914,1.00151328695938,/,250375106560,142818680832,94763536384,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029522.7699585,860682.053590206,1.0016052919672802,/,250375106560,142818680832,94763536384,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029675.8544588,860835.138093762,,/,250375106560,142818689024,94763528192,60.1,0,0,0,0,,,,,0,,
1769029676.855907,860836.139538461,1.0014446990098804,/,250375106560,142818689024,94763528192,60.1,0,69632,0,2,0.0,0.06953154784167767,0.0,1.997114770268775,1,,
1769029677.8572884,860837.140920447,1.001381985959597,/,250375106560,142818693120,94763524096,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029678.8586519,860838.142283786,1.001363339019008,/,250375106560,142818693120,94763524096,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029686.9744794,860846.258112061,,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,,,,,0,,
1769029687.9758463,860847.259478038,1.0013659769902006,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029688.9772854,860848.260916936,1.0014388980343938,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029689.9788892,860849.262522515,1.0016055790474638,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029690.9803889,860850.264020712,1.001498196972534,/,250375106560,142818697216,94763520000,60.1,0,49152,0,1,0.0,0.04907847078365533,0.0,0.9985040442638209,45,,
1769029691.9819026,860851.265534178,1.0015134660061449,/,250375106560,142818697216,94763520000,60.1,0,225280,0,40,0.0,0.22493956162005094,0.0,39.93955284446927,31,,
1769029692.9834533,860852.267084866,1.001550687942654,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029693.9849784,860853.26860982,1.0015249541029334,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029694.9864533,860854.270084853,1.001475033001043,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029695.987991,860855.271623103,1.0015382498968393,/,250375106560,142818697216,94763520000,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029696.9894402,860856.273071875,1.0014487720327452,/,250375106560,142818697216,94763520000,60.1,0,20480,0,1,0.0,0.020450372072881577,0.0,0.9985533238711707,52,,
1769029697.990861,860857.274492872,1.0014209969667718,/,250375106560,142818697216,94763520000,60.1,0,126976,0,6,0.0,0.12679582351937962,0.0,5.991486116402137,17,,
1769029698.99242,860858.276051477,1.0015586049994454,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029699.9939477,860859.277579124,1.001527647022158,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029700.9954977,860860.279129472,1.0015503480099142,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029701.9970002,860861.28063303,1.0015035580145195,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029702.998442,860862.282078985,1.0014459550147876,/,250375106560,142818709504,94763507712,60.1,0,69632,0,4,0.0,0.06953146063580815,0.0,3.9942245310091997,37,,
1769029704.000012,860863.283644703,1.001565717975609,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029705.001544,860864.285176817,1.0015321139944717,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029706.0030599,860865.2866928,1.001515983021818,/,250375106560,142818709504,94763507712,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029707.0046012,860866.288234195,1.0015413949731737,/,250375106560,142818709504,94763507712,60.1,0,4096,0,1,0.0,0.004089696162892709,0.0,0.9984609772687278,32,,
1769029708.0061288,860867.289761707,1.0015275119803846,/,250375106560,142818709504,94763507712,60.1,0,16384,0,2,0.0,0.016359011414077747,0.0,1.9969496355075376,4,,
1769029709.0076964,860868.291329555,1.0015678480267525,/,250375106560,142818713600,94763503616,60.1,0,180224,0,39,0.0,0.1799418784808936,0.0,38.93894964463584,2,,
1769029710.0092294,860869.292862391,1.0015328360022977,/,250375106560,142818717696,94763499520,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769029711.010797,860870.294428723,1.0015663320664316,/,250375106560,142818717696,94763499520,60.1,4096,0,1,0,0.004089594337250866,0.0,0.9984361174928874,0.0,1,,
1769029712.0122762,860871.295907691,1.001478967955336,/,250375106560,142818717696,94763499520,60.1,0,0,0,0,0.0,0.0,0.0,0.0,0,,
